"time","sizeS","sizeM","sizeL"
-16.14,0.785187330148685,0.785187330148685,0.785187330148685
-16.13,0.785736061818678,0.785736061818678,0.785736061818678
-16.12,0.786283894903568,0.786283894903568,0.786283894903568
-16.11,0.786830829067192,0.786830829067192,0.786830829067192
-16.1,0.787376863973386,0.787376863973386,0.787376863973386
-16.09,0.787921999285986,0.787921999285986,0.787921999285986
-16.08,0.788466234668831,0.788466234668831,0.788466234668831
-16.07,0.789009569785756,0.789009569785756,0.789009569785756
-16.06,0.789552004300598,0.789552004300598,0.789552004300598
-16.05,0.790093537877194,0.790093537877194,0.790093537877194
-16.04,0.790634170179382,0.790634170179382,0.790634170179382
-16.03,0.791173900870997,0.791173900870997,0.791173900870997
-16.02,0.79171272961531,0.79171272961531,0.79171272961531
-16.01,0.792250655722103,0.792250655722103,0.792250655722103
-16,0.792787678715427,0.792787678715427,0.792787678715427
-15.99,0.793323798496514,0.793323798496514,0.793323798496514
-15.98,0.793859014966593,0.793859014966593,0.793859014966593
-15.97,0.794393328026895,0.794393328026895,0.794393328026895
-15.96,0.794926737578649,0.794926737578649,0.794926737578649
-15.95,0.795459243523085,0.795459243523085,0.795459243523085
-15.94,0.795990845761432,0.795990845761432,0.795990845761432
-15.93,0.796521544194922,0.796521544194922,0.796521544194922
-15.92,0.797051338724784,0.797051338724784,0.797051338724784
-15.91,0.797580229252247,0.797580229252247,0.797580229252247
-15.9,0.798108215678542,0.798108215678542,0.798108215678542
-15.89,0.798635297904899,0.798635297904899,0.798635297904899
-15.88,0.799161475832547,0.799161475832547,0.799161475832547
-15.87,0.799686749362717,0.799686749362717,0.799686749362717
-15.86,0.800211118396638,0.800211118396638,0.800211118396638
-15.85,0.800734582835541,0.800734582835541,0.800734582835541
-15.84,0.801257142580655,0.801257142580655,0.801257142580655
-15.83,0.80177879753321,0.80177879753321,0.80177879753321
-15.82,0.802299547594437,0.802299547594437,0.802299547594437
